Texto fonte - inglês,Tradução - português,Subprojecto
"The aspect ratio is the relationship between the width and height. You can preserve the aspect ratio by holding down the shift key while resizing your selection. Use the input box to specify the aspect ratio, e.g. 1:1 (square), 4:3, 16:9, etc.","O rácio de aspecto é a relação entre a largura e a altura. Pode preservar o rácio de aspecto carregando na tecla shift enquanto redimensiona a selecção. Utilize a caixa para especificar o rácio de aspecto, i.e. 1:1 (quadrado), 4:3, 16:9, etc.",Admin
"Keyboard users: When you&#8217;re working in the visual editor, you can use <kbd>Alt + F10</kbd> to access the toolbar.",Se usa teclado: Quando está a trabalhar no editor visual pode usar as teclas <kbd>Alt + F10</kbd> para aceder à barra de ferramentas.,Admin
A red bar on the left means the comment is waiting for you to moderate it.,Uma barra vermelha à esquerda significa que o comentário aguarda moderação.,Admin
"You can proportionally scale the original image. For best results, scaling should be done before you crop, flip, or rotate. Images can only be scaled down, not up.","Pode dimensionar proporcionalmente a imagem original. Para melhores resultados, o dimensionamento deve ser feito antes de cortar, virar ou rodar. As imagens só podem ser dimensionadas para tamanhos menores, não para tamanhos maiores.",Admin
"To crop the image, click on it and drag to make your selection.","Para recortar parte da imagem, clique sobre ela e arraste para fazer a selecção.",Admin
All comment types,Todos os tipos de comentários,Admin
Latest [themes],Mais recentes,Admin
Popular [themes],Populares,Admin
Featured [themes],Em destaque,Admin
Attribute all content to:,Atribuir todo o conteúdo a:,Admin
Delete all content.,Eliminar todo o conteúdo.,Admin
What should be done with content owned by this user?,O que deve acontecer ao conteúdo deste utilizador?,Admin
"Delete brings you to the Delete Users screen for confirmation, where you can permanently remove a user from your site and delete their content. You can also delete multiple users at once by using Bulk Actions.","'Eliminar' abre a página de confirmação da eliminação de utilizadores, onde pode remover definitivamente um utilizador do seu site e apagar o respectivo conteúdo. Pode também remover vários utilizadores de uma só vez, usando as acções por lotes.",Admin
Details &amp; Preview [theme],Detalhes e pré-visualização,Admin
Search themes...,Pesquisar temas...,Admin
Search Themes,Pesquisar temas,Admin
Add Themes,Adicionar temas,Admin
&larr; Return to editor,&larr; Voltar ao editor,Admin
https://wordpress.org/support/forum/how-to-and-troubleshooting,https://pt.wordpress.org/support/forum/problemas-no-funcionamento,Admin
<strong>At A Glance</strong> &mdash; Displays a summary of the content on your site and identifies which theme and version of WordPress you are using.,"<strong>Em resumo</strong> &mdash; Mostra um resumo do conteúdo no seu site, assim como o tema e versão de WordPress que está a usar.",Admin
"<strong>Box Controls</strong> &mdash; Click the title bar of the box to expand or collapse it. Some boxes added by plugins may have configurable content, and will show a &#8220;Configure&#8221; link in the title bar if you hover over it.","<strong>Controlo de caixas</strong> &mdash; Clique na barra de título de uma caixa para a expandir ou minimizar. Algumas caixas permitem a personalização do respectivo conteúdo e apresentam uma ligação &#8220;Configurar&#8221; na barra de título, ao pairar sobre ela.",Admin
Remove allows you to remove a user from your site. It does not delete their content. You can also remove multiple users at once by using Bulk Actions.,"'Remover' permite-lhe remover um utilizador do seu site, sem apagar o respectivo conteúdo. Pode também remover vários utilizadores de uma só vez, usando as acções por lotes.",Admin
Edit date and time,Editar data e hora,Admin
Browse revisions,Consultar revisões,Admin
Edit visibility,Editar visibilidade,Admin
Edit status,Editar estado,Admin
Manage menus,Gerir menus,Admin
Manage widgets,Gerir widgets,Admin
https://make.wordpress.org/,https://make.wordpress.org/,Admin
"Thank you for creating with <a href=""%s"">WordPress</a>.","Obrigado por criar com o <a href=""%s"">WordPress</a>.",Admin
Type,Tipo,Admin
Search installed themes...,Procurar temas instalados…,Admin
"<strong>Translations</strong> &mdash; The files translating WordPress into your language are updated for you whenever any other updates occur. But if these files are out of date, you can <strong>click the &#8220;Update Translations&#8221;</strong> button.","<strong>Traduções</strong> &mdash; Os ficheiros de tradução do WordPress para Português são actualizados sempre que existem outras actualizações. Seja como for, se as traduções estiverem desactualizadas, pode sempre <strong>clicar no botão &#8220;Actualizar traduções&#8221;</strong>.",Admin
"In most cases, WordPress will automatically apply maintenance and security updates in the background for you.","Na maioria dos casos, o WordPress vai encarregar-se automaticamente das actualizações de manutenção e de segurança em segundo plano.",Admin
<strong>WordPress</strong> &mdash; Updating your WordPress installation is a simple one-click procedure: just <strong>click on the &#8220;Update Now&#8221; button</strong> when you are notified that a new version is available.,"<strong>WordPress</strong> &mdash; Actualizar a sua instalação do WordPress é um procedimento simples, basta um clique: é só <strong>clicar no botão &#8220;Actualizar agora&#8221;</strong> sempre que haja uma notificação sobre uma nova actualização.",Admin
"If an update is available, you&#8127;ll see a notification appear in the Toolbar and navigation menu.","Se existir uma actualização disponível, verá o aviso na barra de ferramentas e no menu de navegação.",Admin
"<strong>Themes and Plugins</strong> &mdash; To update individual themes or plugins from this screen, use the checkboxes to make your selection, then <strong>click on the appropriate &#8220;Update&#8221; button</strong>. To update all of your themes or plugins at once, you can check the box at the top of the section to select all before clicking the update button.","<strong>Temas e Plugins</strong> &mdash; Para actualizar temas e plugins a partir desta página, use as caixas para fazer a sua selecção e <strong>clique no &#8220;botão Actualizar&#8221; adequado</strong>. Marque a caixa na parte superior da secção de Temas ou Plugins para os seleccionar todos e actualizar todos de uma só vez.",Admin
"On this screen, you can update to the latest version of WordPress, as well as update your themes, plugins, and translations from the WordPress.org repositories.","Nesta página, poderá fazer a actualização para a versão mais recente do WordPress, bem como, fazer a actualização dos temas, plugins e traduções instaladas, através dos repositórios WordPress.org.",Admin
Welcome to WordPress&nbsp;%s,Bem-vindo ao WordPress&nbsp;%s,Admin
"If you would like to see more themes to choose from, click on the &#8220;Add New&#8221; button and you will be able to browse or search for additional themes from the <a href=""%s"">WordPress Theme Directory</a>. Themes in the WordPress Theme Directory are designed and developed by third parties, and are compatible with the license WordPress uses. Oh, and they&#8217;re free!","Se pretende ver mais temas, clique no botão &#8220;Adicionar novo&#8221; e poderá navegar ou procurar temas adicionais no <a href=""%s"">directório de temas do WordPress</a>. Os temas no directório são concebidos e desenvolvidos por terceiros, e são compatíveis com as licenças do WordPress. E são gratuitos!",Admin
%1$s MB (%2$s%%) Space Used,%1$s MB (%2$s%%) de espaço usado,Admin
%s MB Space Allowed,%s MB de espaço disponível,Admin
M jS,M jS,Admin
"%s in moderation
%s in moderation
[comments]","%s em moderação
%s em moderação",Admin
"%s Page
%s Pages","%s página
%s páginas",Admin
"%s Post
%s Posts","%s artigo
%s artigos",Admin
At a Glance,Em resumo,Admin
"When this setting is in effect, a reminder is shown in the At a Glance box of the Dashboard that says, &#8220;Search Engines Discouraged,&#8221; to remind you that your site is not being crawled.","Quando esta opção está ligada, é mostrado um lembrete na caixa Em resumo do painel de controlo que diz &#8220;Motores de pesquisa desencorajados&#8221; para que não se esqueça que o seu site não está a ser indexado.",Admin
Accessibility Ready,Preparado para acessibilidade,Admin
This is a child theme of %s.,Este é um tema dependente de %s.,Admin
"When previewing on smaller monitors, you can use the collapse icon at the bottom of the left-hand pane. This will hide the pane, giving you more room to preview your site in the new theme. To bring the pane back, click on the collapse icon again.","Se está a pré-visualizar o tema num ecrã pequeno, utilize o botão em baixo do lado esquerdo para esconder o painel de configuração, ficando com mais espaço no ecrã para visualizar o seu site com o novo tema. Para recuperar o painel, clique no mesmo botão novamente.",Admin
"The theme being previewed is fully interactive &mdash; navigate to different pages to see how the theme handles posts, archives, and other page templates. The settings may differ depending on what theme features the theme being previewed supports. To accept the new settings and activate the theme all in one step, click the Save &amp; Activate button above the menu.","O tema que está a ser pré-visualizado é completamente interactivo &mdash; navegue por diferentes páginas para ver o comportamento do tema nos artigos, arquivos e outras páginas. As configurações do tema dependem das funcionalidades que o tema suporta. Para confirmar as novas configurações e activar o tema num passo apenas, clique no botão Guardar e activar no topo do menu.",Admin
"Tap or hover on any theme then click the Live Preview button to see a live preview of that theme and change theme options in a separate, full-screen view. You can also find a Live Preview button at the bottom of the theme details screen. Any installed theme can be previewed and customized in this way.",Toque ou posicione o ponteiro do rato sobre um tema e clique em Pré-visualizar para ter acesso à pré-visualização desse tema e às suas opções num ecrã separado. O botão de pré-visualização está igualmente disponível no fundo da página de detalhe de cada tema. Qualquer tema instalado pode ser pré-visualizado e personalizado desta forma.,Admin
The current theme is displayed highlighted as the first theme.,O tema activo é mostrado em destaque na primeira posição.,Admin
Click Customize for the current theme or Live Preview for any other theme to see a live preview,"Clique em Personalizar para o tema activo ou em Pré-Visualizar para qualquer outro tema, para pré-visualizar e personalizar o tema.",Admin
"Click on the theme to see the theme name, version, author, description, tags, and the Delete link","Clique no tema para ver o nome do tema, a versão, o autor, a descrição, as etiquetas e ligação para o eliminar.",Admin
Hover or tap to see Activate and Live Preview buttons,Clique para ver os botões Activar e Pré-visualizar,Admin
"This screen is used for managing your installed themes. Aside from the default theme(s) included with your WordPress installation, themes are designed and developed by third parties.","Esta página é usada para gerir os temas instalados. A não ser o tema por omissão, incluído na instalação do WordPress, os temas são concebidos e desenvolvidos por terceiros.",Admin
"To activate a widget drag it to a sidebar or click on it. To deactivate a widget and delete its settings, drag it back.","Para activar um widget arraste-o para uma barra lateral ou clique nele. Para o desactivar e eliminar as suas opções, arraste-o de volta ao conjunto.",Admin
%s rating,Classificação %s,Admin
"%1$s rating based on %2$s rating
%1$s rating based on %2$s ratings","Classificação %1$s, com base em %2$s voto
Classificação %1$s, com base em %2$s votos",Admin
"This screen shows an individual user all of their sites in this network, and also allows that user to set a primary site. They can use the links under each site to visit either the front end or the dashboard for that site.","Esta página mostra a um utilizador todos os seus sites nesta rede e permite-lhe ainda definir o seu site primário, assim como visitar o site e o painel de controlo, usando as ligações abaixo do nome de cada site.",Admin
Error: [%1$s] %2$s,Erro: [%1$s] %2$s,Admin
Rollback Error: [%1$s] %2$s,Erro de rollback: [%1$s] %2$s,Admin
The following translations failed to update:,Os seguintes idiomas não puderam ser actualizados:,Admin
The following themes failed to update:,Os seguintes temas não puderam ser actualizados:,Admin
The following plugins failed to update:,Os seguintes plugins não puderam ser actualizados:,Admin
The following translations were successfully updated:,Os seguintes idiomas foram actualizados com sucesso:,Admin
The following themes were successfully updated:,Os seguintes temas foram actualizados com sucesso:,Admin
The following plugins were successfully updated:,Os seguintes plugins foram actualizados com sucesso:,Admin
Add Widget,Adicionar widget,Admin
Show next theme,Mostrar tema seguinte,Admin
Show previous theme,Mostrar tema anterior,Admin
Update Available,Actualização disponível,Admin
Add New [Add new theme],Adicionar novo,Admin
Add New Theme,Adicionar novo tema,Admin
"Are you sure you want to delete this theme? 

Click 'Cancel' to go back, 'OK' to confirm the delete.","Tem a certeza que quer eliminar este tema? 

Clique 'Cancelar' para voltar ou 'OK' para confirmar.",Admin
<strong>Quick Draft</strong> &mdash; Allows you to create a new post and save it as a draft. Also displays links to the 5 most recent draft posts you've started.,<strong>Rascunho rápido</strong> &mdash; Permite-lhe criar um novo artigo e guardá-lo como rascunho. Mostra também os cinco mais recentes rascunhos.,Admin
"<strong>Activity</strong> &mdash; Shows the upcoming scheduled posts, recently published posts, and the most recent comments on your posts and allows you to moderate them.","<strong>Actividade</strong> &mdash; Mostra os artigos agendados para publicação, artigos publicados recentemente e os comentários mais recentes aos seus artigos, que pode moderar.",Admin
<strong>Screen Options</strong> &mdash; Use the Screen Options tab to choose which Dashboard boxes to show.,"<strong>Opções de ecrã</strong> &mdash; Use o separador ""Opções deste ecrã"" para escolher quais as caixas ou módulos a exibir.",Admin
"Unable to submit this form, please refresh and try again.","Impossível enviar este formulário, por favor volte a carregar a página e tente novamente.",Admin
Manage Uploads,Gerir carregamentos,Admin
Popular Plugin,Plugin popular,Admin
Tomorrow,Amanhã,Admin
No activity yet!,Sem actividade por enquanto!,Admin
Recently Published,Publicado recentemente,Admin
Publishing Soon,A publicar recentemente,Admin
Drafts,Rascunhos,Admin
View all [drafts],Ver todos,Admin
What&#8217;s on your mind?,Em que é que está a pensar?,Admin
WordPress %1$s running %2$s theme.,"WordPress %1$s, com o tema %2$s.",Admin
Quick Draft,Rascunho rápido,Admin
[%s] Background updates have finished,[%s] Actualizações terminadas,Admin
[%s] There were failures during background updates,[%s] Ocorreram erros durante o processo de actualização,Admin
FAILED: %s,ERRO: %s,Admin
SUCCESS: %s,SUCESSO: %s,Admin
FAILED: WordPress failed to update to %s,ERRO: O WordPress não pôde ser actualizado para a versão %s,Admin
SUCCESS: WordPress was successfully updated to %s,SUCESSO: O WordPress foi actualizado para a versão %s,Admin
WordPress site: %s,Site WordPress: %s,Admin
Activity,Actividade,Admin
Your site was running version %s.,O seu site estava na versão %s.,Admin
Your site at %1$s experienced a critical failure while trying to update WordPress to version %2$s.,"Ocorreu uma falha crítica no seu site %1$s, ao tentar actualizar o WordPress para a versão %2$s.",Admin
WordPress %s is also now available.,O WordPress %s também está disponível agora,Admin
The update cannot be installed because we will be unable to copy some files. This is usually due to inconsistent file permissions.,A actualização não pode ser instalada por não ter sido possível copiar alguns ficheiros. Isto deve-se normalmente a permissões inconsistentes de ficheiros.,Admin
Your translations are all up to date.,As suas traduções estão actualizadas.,Admin
Translations,Traduções,Admin
Future security updates will be applied automatically.,"Actualizações de segurança serão, de futuro, instaladas automaticamente.",Admin
"If you take over, %s will be blocked from continuing to edit.","Se o editar, %s ficará impedido/a do o editar.",Admin
This content is currently locked.,Este conteúdo está de momento bloqueado.,Admin
Error code: %s,Código de erro: %s,Admin
"Your hosting company, support forum volunteers, or a friendly developer may be able to use this information to help you:","Esta informação pode ser útil ao seu serviço de alojamento, aos voluntários no fórum de suporte ou a algum programador seu amigo:",Admin
We have some data that describes the error your site encountered.,Temos alguns dados que descrevem o erro que ocorreu no seu site.,Admin
The WordPress Team,A equipa do WordPress,Admin
You also have some plugins or themes with updates available. Update them now:,Também há actualizações disponíveis para alguns plugins e temas. Actualize-os agora:,Admin
"If you experience any issues or need support, the volunteers in the WordPress.org support forums may be able to help.","Se está com dificuldades ou necessita de apoio, os voluntários no fórum de suporte do WordPress.org podem dar-lhe uma ajuda.",Admin
Keeping your site updated is important for security. It also makes the internet a safer place for you and your readers.,"É importante ter o seu site sempre actualizado por motivos de segurança, e ajuda também a tornar a internet um sítio mais seguro, para si e para quem o visita.",Admin
"Please check out your site now. It's possible that everything is working. If it says you need to update, you should do so:","Por favor, verifique agora o seu site. É possível que tudo esteja a funcionar. Se vê uma mensagem que sugere uma actualização, siga o conselho:",Admin
This means your site may be offline or broken. Don't panic; this can be fixed.,Isto significa que o seu site pode estar offline ou danificado. Não entre em pânico; o problema resolve-se.,Admin
"Your site at %1$s experienced a critical failure while trying to update to the latest version of WordPress, %2$s.","O seu site em %1$s sofreu uma falha crítica ao tentar a actualização para a versão mais recente do WordPress, %2$s.",Admin
Updating is easy and only takes a few moments:,Actualizar é fácil e demora apenas um instante:,Admin
We tried but were unable to update your site automatically.,Tentámos mas não fomos capazes de actualizar o seu site automaticamente.,Admin
Please update your site at %1$s to WordPress %2$s.,Por favor actualize o site %1$s para o WordPress %2$s.,Admin
"For more on version %s, see the About WordPress screen:","Para saber mais sobre a versão %s, consulte a página Sobre o WordPress:",Admin
No further action is needed on your part.,Não precisa de fazer mais nada.,Admin
Howdy! Your site at %1$s has been updated automatically to WordPress %2$s.,Olá! O seu site %1$s foi automaticamente actualizado para a versão %2$s do WordPress.,Admin
[%1$s] URGENT: Your site may be down due to a failed update,[%1$s] URGENTE: O seu site pode estar em baixo devido a uma falha na actualização,Admin
[%1$s] WordPress %2$s is available. Please update!,[%1$s] WordPress %2$s já está disponível. Actualize agora!,Admin
[%1$s] Your site has updated to WordPress %2$s,[%1$s] O seu site foi actualizado para a versão %2$s do WordPress,Admin
Translations for %s,Traduções para %s,Admin
Updating translations for %1$s (%2$s)&#8230;,A actualizar as traduções para %1$s (%2$s)&#8230;,Admin
Update Translations,Actualizar traduções,Admin
There is not enough free disk space to complete the update.,Não existe espaço suficiente no disco para terminar a actualização.,Admin
Updating plugin: %s,A actualizar o plugin: %s,Admin
Updating theme: %s,A actualizar o tema: %s,Admin
Translation updated successfully.,Tradução actualizada com sucesso.,Admin
Translation update failed.,A actualização da tradução falhou.,Admin
"Downloading translation from <span class=""code"">%s</span>&#8230;","A descarregar a tradução de <span class=""code"">%s</span>&#8230;",Admin
The translations are up to date.,As traduções estão actualizadas.,Admin
Some of your translations need updating. Sit tight for a few more seconds while we update them as well.,Algumas das suas traduções precisam de ser actualizadas. Por favor espere alguns segundos enquanto as actualizamos também.,Admin
Create a brand new user and add them to this site.,Crie um utilizador novo e adicione-o a este site.,Admin
"Upgrading to a newer version of the same theme will override changes made here. To avoid this, consider creating a <a href=""%s"">child theme</a> instead.","Actualizar o tema para uma versão mais recente vai sobrepor-se às alterações feitas aqui, eliminando-as. Para evitar isto, considere criar um <a href=""%s"">tema dependente</a> em vez de editar este.",Admin
The sizes listed below determine the maximum dimensions in pixels to use when adding an image to the Media Library.,Os tamanhos descritos abaixo determinam as dimensões máximas em píxeis que deve utilizar ao adicionar uma imagem à biblioteca multimédia.,Admin
Comment must be manually approved,O comentário tem que ser aprovado manualmente.,Admin
"<strong>Clicking the arrow to the right of any menu item</strong> in the editor will reveal a standard group of settings. Additional settings such as link target, CSS classes, link relationships, and link descriptions can be enabled and disabled via the Screen Options tab.","<strong>Clicar na seta à direita de qualquer item de menu</strong> no editor vai exibir um grupo de definições padrão. Definições adicionais tais como o destino da ligação, classes de CSS, relação com a ligação e descrição da ligação podem ser activadas e desactivadas através do separador de opções do ecrã.",Admin
"Menus can be displayed in locations defined by your theme, even used in sidebars by adding a &#8220;Custom Menu&#8221; widget on the <a href=""%1$s"">Widgets</a> screen. If your theme does not support the custom menus feature (the default themes, %2$s and %3$s, do), you can learn about adding this support by following the Documentation link to the side.","Os menus podem ser mostrados nos sítios definidos pelo seu tema, ou utilizados em barras laterais adicionando um widget de &#8220;Menu Personalizado&#8221; na página de <a href=""%1$s"">Widgets</a>. Se o seu tema não tiver suporte para a funcionalidade de menus personalizados (os temas por omissão, %2$s and %3$s, têm), pode aprender como adicionar esse suporte seguindo a ligação para a Documentação (ao lado).",Admin
"Your theme does not natively support menus, but you can use them in sidebars by adding a &#8220;Custom Menu&#8221; widget on the <a href=""%s"">Widgets</a> screen.","O seu tema não tem suporte nativo para menus, mas pode utilizá-los nas barras laterais se adicionar um widget de &#8220;Menu Personalizado&#8221; na página de <a href=""%s"">Widgets</a>.",Admin
"Sorry, that isn&#8217;t a valid email address. Email addresses look like <code>username@example.com</code>.",Isso não é um endereço de email válido. Os endereços de email têm este aspecto: <code>username@example.com</code>.,Admin
You must provide an email address.,Tem que inserir um endereço de email.,Admin
Your passwords do not match. Please try again.,As suas senhas não são iguais. Por favor tente novamente.,Admin
The username you provided has invalid characters.,O nome de utilizador que inseriu tem caracteres inválidos.,Admin
Please provide a valid username.,Por favor insira um nome de utilizador válido.,Admin
Copying the required files&#8230;,A copiar os ficheiros necessários&#8230;,Admin
Preparing to install the latest version&#8230;,A preparar para instalar a versão mais recente&#8230;,Admin
This password will not be stored on the server.,Esta senha não será armazenada no servidor.,Admin
The checksum of the file (%1$s) does not match the expected checksum value (%2$s).,A checksum do ficheiro (%1$s) não corresponde ao valor de checksum esperado (%2$s).,Admin
WordPress %s,WordPress %s,Admin
Updating to WordPress %s,A actualizar para o WordPress %s,Admin
"Due to an error during updating, WordPress has rolled back to your previous version.","Devido a um erro na actualização, o WordPress reverteu para a versão anterior.",Admin
Attempting to roll back to previous version.,A tentar reverter para a versão anterior.,Admin
Looking for %1$s in %2$s,À procura de %1$s em %2$s,Admin
"%s page restored from the Trash.
%s pages restored from the Trash.","%s página restaurada do lixo.
%s páginas restauradas do lixo.",Admin
"%s page moved to the Trash.
%s pages moved to the Trash.","%s página movida para o lixo.
%s páginas movidas para o lixo.",Admin
"%s page permanently deleted.
%s pages permanently deleted.","%s página eliminada permanentemente.
%s páginas eliminadas permanentemente.",Admin
"%s page not updated, somebody is editing it.
%s pages not updated, somebody is editing them.","%s página não actualizada, há alguém a editá-la.
%s páginas não actualizadas, há alguém a editá-las.",Admin
"%s page updated.
%s pages updated.","%s página actualizada.
%s páginas actualizadas.",Admin
"%s post restored from the Trash.
%s posts restored from the Trash.","%s artigo restaurado do lixo.
%s artigos restaurados do lixo.",Admin
"%s post moved to the Trash.
%s posts moved to the Trash.","%s artigo movido para o lixo.
%s artigos movidos para o lixo.",Admin
"%s post permanently deleted.
%s posts permanently deleted.","%s artigo eliminado permanentemente.
%s artigos eliminados permanentemente.",Admin
"%s post not updated, somebody is editing it.
%s posts not updated, somebody is editing them.","%s artigo não actualizado, há alguém a editá-lo.
%s artigos não actualizados, há alguém a editá-los.",Admin
Tags deleted.,Etiquetas eliminadas.,Admin
Tag not updated.,Etiqueta não actualizada.,Admin
Tag not added.,Etiqueta não adicionada.,Admin
Tag updated.,Etiqueta actualizada.,Admin
Tag deleted.,Etiqueta eliminada.,Admin
Tag added.,Etiqueta adicionada.,Admin
Categories deleted.,Categorias eliminadas.,Admin
Category not updated.,Categoria não actualizada.,Admin
Category not added.,Categoria não adicionada.,Admin
Category updated.,Categoria actualizada.,Admin
Category deleted.,Categoria eliminada.,Admin
Category added.,Categoria adicionada.,Admin
Compare two different revisions by <strong>selecting the &#8220;Compare any two revisions&#8221; box</strong> to the side.,Compare duas revisões <strong>seleccionando a opção &#8220;Comparar quaisquer duas revisões&#8221;</strong>.,Admin
Compare any two revisions,Comparar quaisquer duas revisões,Admin
Restore This Autosave,Repor esta cópia automática,Admin
Current Revision by %s,Revisão actual por %s,Admin
Autosave by %s,Cópia automática por %s,Admin
Browse [revisions],Ver,Admin
Revisions: %s,Revisões: %s,Admin
"""%s"".","""%s"".",Admin
"""%1$s"" by %2$s.","""%1$s"" por %2$s.",Admin
"""%1$s"" from %2$s.","""%1$s"" de %2$s.",Admin
"""%1$s"" from %2$s by %3$s.","""%1$s"" de %2$s por %3$s.",Admin
Revision by %s,Revisão de %s,Admin
"We&#8217;re backing up this post in your browser, just in case.","Estamos a fazer uma cópia deste artigo no seu navegador, para o caso de algo correr mal.",Admin
<strong>Connection lost.</strong> Saving has been disabled until you&#8217;re reconnected.,<strong>Ligação perdida.</strong> Guardar foi desactivado até voltar a estar ligado.,Admin
"Sorry, something went wrong. The requested comparison could not be loaded.",Desculpe mas algo correu mal. A comparação pedida não pôde ser carregada.,Admin
Repeat Password,Repita a senha,Admin
Repeat New Password,Repita a nova senha,Admin
Add menu items from the column on the left.,Adicione itens de menu a partir da coluna à esquerda.,Admin
"Plugins extend and expand the functionality of WordPress. You may automatically install plugins from the <a href=""%1$s"">WordPress Plugin Directory</a> or upload a plugin in .zip format by clicking the button at the top of this page.","Os plugins expandem a funcionalidade do WordPress. Pode instalá-los automaticamente a partir do <a href=""%1$s"">directório de plugins do WordPress</a> ou carregá-los em formato .zip, clicando no botão no topo desta página.",Admin
http://wordpress.org/plugins/hello-dolly/,http://wordpress.org/plugins/hello-dolly/,Admin
The theme contains no files.,O tema não contém ficheiros.,Admin
The package contains no files.,O pacote não contém ficheiros.,Admin
"To navigate between revisions, <strong>drag the slider handle left or right</strong> or <strong>use the Previous or Next buttons</strong>.","Para navegar nas revisões, <strong>arraste o indicador para a esquerda ou direita</strong> ou então <strong>use os botões Anterior e Seguinte</strong>.",Admin
Loading&hellip;,A carregar&hellip;,Admin
This item has already been deleted.,Este item de já foi eliminado.,Admin
The item you are trying to restore from the Trash no longer exists.,O item que está a tentar restaurar do lixo já não existe.,Admin
The item you are trying to move to the Trash no longer exists.,O item que está a tentar mover para o lixo já não existe.,Admin
Drag each item into the order you prefer. Click the arrow on the right of the item to reveal additional configuration options.,Arraste os itens individualmente para os colocar na ordem que preferir. Clique na seta à direita do item para revelar opções de configuração adicionais.,Admin
"If you haven&#8217;t yet created any menus, <strong>click the &#8217;create a new menu&#8217; link</strong> to get started","Se ainda não criou nenhum menu, <strong>clique na ligação &#8217;criar um novo menu&#8217;</strong> para começar",Admin
"To restore a revision, <strong>click Restore This Revision</strong>.","Para repor uma revisão, <strong>clique em Repor esta revisão</strong>.",Admin
"From this screen you can review, compare, and restore revisions:","Nesta página pode rever, comparar e repor revisões:",Admin
"Revisions are saved copies of your post or page, which are periodically created as you update your content. The red text on the left shows the content that was removed. The green text on the right shows the content that was added.",As revisões são cópias dos seus artigos ou páginas que são periodicamente criadas conforme vai actualizando os seus conteúdos. O texto a vermelho do lado direito mostra os conteúdos que foram removidos. O texto a verde do lado direito mostra os conteúdos que foram acrescentados.,Admin
This screen is used for managing your content revisions.,Esta página é utilizada para gerir as revisões dos seus conteúdos.,Admin
To: [Followed by post revision info],Para:,Admin
Next [Button label for a next revision],Seguinte,Admin
Previous [Button label for a previous revision],Anterior,Admin
From: [Followed by post revision info],De:,Admin
Use new menu [menu],Usar novo menu,Admin
Edit [menu],Editar,Admin
Select a Menu,Seleccione um menu,Admin
Assigned Menu,Menu atribuído,Admin
Theme Location,Área do tema,Admin
Manage Locations,Gerir áreas,Admin
Edit Menus,Editar menus,Admin
"To add a new menu instead of assigning an existing one, <strong>click the &#8217;Use new menu&#8217; link</strong>. Your new menu will be automatically assigned to that theme location","Para adicionar um menu novo em vez de atribuir um que já exista, <strong>clique na ligação &#8217;Usar novo menu&#8217;</strong>. ",Admin
"To edit a menu currently assigned to a theme location, <strong>click the adjacent &#8217;Edit&#8217; link</strong>","Para editar um menu atribuído à área de um tema, <strong>clique na ligação &#8217;Editar&#8217; adjacente</strong>",Admin
"To assign menus to one or more theme locations, <strong>select a menu from each location&#8217;s drop down.</strong> When you&#8217;re finished, <strong>click Save Changes</strong>","Para atribuir menus a uma ou mais áreas do tema, <strong>escolha um menu em cada selector de área.</strong> Quando terminar <strong>clique em ""Guardar alterações""</strong>.",Admin
This screen is used for globally assigning menus to locations defined by your theme.,Esta página é utilizada para atribuir globalmente menus a áreas definidas pelo seu tema.,Admin
Editing Menus,Edição de menus,Admin
Delete a menu item by <strong>expanding it and clicking the Remove link</strong>,"Elimine um item do menu <strong>expandindo-o e clicando em ""Remover ligação""</strong>",Admin
"To reorganize menu items, <strong>drag and drop items with your mouse or use your keyboard</strong>. Drag or move a menu item a little to the right to make it a submenu","Para reorganizar itens do menu, <strong>arraste e solte itens com o seu rato ou use um teclado</strong>. Arraste ou mova um item do menu um pouco para o direita para o transformar num submenu",Admin
Add one or several items at once by <strong>selecting the checkbox next to each item and clicking Add to Menu</strong>,"Adicione um ou vários itens de cada vez <strong>activando o selector ao lado de cada item e clicando em ""Adicionar ao menu""</strong>",Admin
"Each custom menu may contain a mix of links to pages, categories, custom URLs or other content types. Menu links are added by selecting items from the expanding boxes in the left-hand column below.","Cada menu personalizado pode conter uma mistura de ligações para páginas, categorias, URLs personalizados ou outros tipos de conteúdos. As ligações dos menus são adicionadas seleccionando nas caixas expansíveis na coluna da esquerda em baixo.",Admin
Menu Management,Gestão de menus,Admin
"You can assign theme locations to individual menus by <strong>selecting the desired settings</strong> at the bottom of the menu editor. To assign menus to all theme locations at once, <strong>visit the Manage Locations tab</strong> at the top of the screen.","Pode atribuir áreas do tema a menus individuais <strong>seleccionando as opções pretendidas</strong> no parte de baixo do editor de menus. Para atribuir menus a todos as áreas ao mesmo tempo, <strong>visite o separador Gerir áreas</strong> no topo da página.",Admin
"To edit an existing menu, <strong>choose a menu from the drop down and click Select</strong>","Para editar um menu existente, <strong>escolha um menu no selector e clique em Seleccionar</strong>",Admin
The menu management box at the top of the screen is used to control which menu is opened in the editor below.,A caixa de gestão de menus no cimo da página é utilizada para controlar o menu que é aberto no editor abaixo.,Admin
"Add, organize, and modify individual menu items","Adicionar, organizar e modificar itens individuais dos menus",Admin
"Create, edit, and delete menus","Criar, editar e eliminar menus",Admin
From this screen you can:,Nesta página pode:,Admin
This screen is used for managing your custom navigation menus.,Esta página é utilizada para gerir os seus menus de navegação personalizados.,Admin
